X,species,genus,family,status,category,effort_corrected_abund,raw_abund,species_underscore,category_binary,pollination,poll_binary
Ammophila_breviligulata,Ammophila breviligulata,Ammophila,Poaceae,prune,nonhost,0.014396565,174,Ammophila_breviligulata,0,abiotic,1
Amorpha_fruticosa,Amorpha fruticosa,Amorpha,Fabaceae,prune,specialist_host,0.03870748,664,Amorpha_fruticosa,1,biotic,2
Ampelaster_carolinianus,Ampelaster carolinianus,Ampelaster,Asteraceae,prune,nonhost,0.015194265,369,Ampelaster_carolinianus,0,biotic,2
Ampelopsis_glandulosa,Ampelopsis glandulosa,Ampelopsis,Vitaceae,prune,nonhost,0.125801286,3323,Ampelopsis_glandulosa,0,biotic,2
Amphicarpaea_bracteata,Amphicarpaea bracteata,Amphicarpaea,Fabaceae,prune,nonhost,0.031072718,1169,Amphicarpaea_bracteata,0,biotic,2
Amphicarpum_amphicarpon,Amphicarpum amphicarpon,Amphicarpum,Poaceae,prune,nonhost,0.001210692,15,Amphicarpum_amphicarpon,0,abiotic,1
Anaphalis_margaritacea,Anaphalis margaritacea,Anaphalis,Asteraceae,prune,nonhost,0.102688709,457,Anaphalis_margaritacea,0,biotic,2
Andromeda_polifolia,Andromeda polifolia,Andromeda,Ericaceae,prune,nonhost,0.014518365,169,Andromeda_polifolia,0,biotic,2
Andropogon_glomeratus,Andropogon glomeratus,Andropogon,Poaceae,prune,nonhost,0.132104503,1289,Andropogon_glomeratus,0,abiotic,1
Anemone_berlandieri,Anemone berlandieri,Anemone,Ranunculaceae,prune,nonhost,0.129037278,3086,Anemone_berlandieri,0,biotic,2
Anemonella_thalictroides,Anemonella thalictroides,Anemonella,Ranunculaceae,prune,nonhost,0.107932893,2922,Anemonella_thalictroides,0,biotic,2
Angadenia_berteroi,Angadenia berteroi,Angadenia,Apocynaceae,prune,nonhost,0.002032053,53,Angadenia_berteroi,0,biotic,2
Angelica_atropurpurea,Angelica atropurpurea,Angelica,Apiaceae,prune,nonhost,0.007933399,265,Angelica_atropurpurea,0,biotic,2
Antennaria_solitaria,Antennaria solitaria,Antennaria,Asteraceae,prune,nonhost,0.007190139,233,Antennaria_solitaria,0,biotic,2
Anthaenantia_rufa,Anthaenantia rufa,Anthaenantia,Poaceae,prune,nonhost,0.005198137,68,Anthaenantia_rufa,0,abiotic,1
Anticlea_elegans,Anticlea elegans,Anticlea,Melanthiaceae,prune,nonhost,3.94E-04,8,Anticlea_elegans,0,biotic,2
Apassalus_humistratus,Apassalus humistratus,Apassalus,Acanthaceae,prune,nonhost,7.42E-04,18,Apassalus_humistratus,0,biotic,2
Aphanostephus_skirrhobasis,Aphanostephus skirrhobasis,Aphanostephus,Asteraceae,prune,nonhost,7.56E-04,1,Aphanostephus_skirrhobasis,0,biotic,2
Aplectrum_hyemale,Aplectrum hyemale,Aplectrum,Orchidaceae,prune,nonhost,0.037188885,694,Aplectrum_hyemale,0,biotic,2
Apocynum_androsaemifolium,Apocynum androsaemifolium,Apocynum,Apocynaceae,prune,nonhost,0.085613635,1880,Apocynum_androsaemifolium,0,biotic,2
Apteria_aphylla,Apteria aphylla,Apteria,Burmanniaceae,prune,nonhost,0.007792613,130,Apteria_aphylla,0,biotic,2
Aquilegia_canadensis,Aquilegia canadensis,Aquilegia,Ranunculaceae,prune,nonhost,0.071608552,2173,Aquilegia_canadensis,0,biotic,2
Arabidopsis_lyrata,Arabidopsis lyrata,Arabidopsis,Brassicaceae,prune,nonhost,0.003764373,187,Arabidopsis_lyrata,0,biotic,2
Arabis_georgiana,Arabis georgiana,Arabis,Brassicaceae,prune,specialist_host,1.51E-04,2,Arabis_georgiana,1,biotic,2
Aralia_nudicaulis,Aralia nudicaulis,Aralia,Araliaceae,prune,nonhost,0.250967398,4502,Aralia_nudicaulis,0,biotic,2
Arceuthobium_pusillum,Arceuthobium pusillum,Arceuthobium,Santalaceae,prune,nonhost,5.75E-04,14,Arceuthobium_pusillum,0,biotic,2
Arctostaphylos_uva-ursi,Arctostaphylos uva-ursi,Arctostaphylos,Ericaceae,prune,nonhost,0.028472865,410,Arctostaphylos_uva-ursi,0,biotic,2
Arctous_alpina,Arctous alpina,Arctous,Ericaceae,prune,nonhost,4.13E-05,4,Arctous_alpina,0,biotic,2
Ardisia_escallonioides,Ardisia escallonioides,Ardisia,Primulaceae,prune,nonhost,0.012851767,295,Ardisia_escallonioides,0,biotic,2
Arenaria_lanuginosa,Arenaria lanuginosa,Arenaria,Caryophyllaceae,prune,nonhost,2.72E-04,4,Arenaria_lanuginosa,0,biotic,2
Arethusa_bulbosa,Arethusa bulbosa,Arethusa,Orchidaceae,prune,nonhost,0.002700731,64,Arethusa_bulbosa,0,biotic,2
Argemone_mexicana,Argemone mexicana,Argemone,Papaveraceae,prune,nonhost,0.003907768,92,Argemone_mexicana,0,biotic,2
Arisaema_dracontium,Arisaema dracontium,Arisaema,Araceae,prune,nonhost,0.442864763,11486,Arisaema_dracontium,0,biotic,2
Aristida_spiciformis,Aristida spiciformis,Aristida,Poaceae,prune,nonhost,0.021384817,388,Aristida_spiciformis,0,abiotic,1
Aristolochia_macrophylla,Aristolochia macrophylla,Aristolochia,Aristolochiaceae,prune,nonhost,0.020569667,345,Aristolochia_macrophylla,0,biotic,2
Armeria_maritima,Armeria maritima,Armeria,Plumbaginaceae,prune,nonhost,4.53E-05,3,Armeria_maritima,0,biotic,2
Arnica_acaulis,Arnica acaulis,Arnica,Asteraceae,prune,nonhost,7.53E-04,28,Arnica_acaulis,0,biotic,2
Arnoglossum_floridanum,Arnoglossum floridanum,Arnoglossum,Asteraceae,prune,nonhost,0.016425321,269,Arnoglossum_floridanum,0,biotic,2
Aronia_melanocarpa,Aronia melanocarpa,Aronia,Rosaceae,prune,nonhost,0.030388068,486,Aronia_melanocarpa,0,biotic,2
Artemisia_ludoviciana,Artemisia ludoviciana,Artemisia,Asteraceae,prune,nonhost,0.002242466,54,Artemisia_ludoviciana,0,biotic,2
Aruncus_dioicus,Aruncus dioicus,Aruncus,Rosaceae,prune,nonhost,0.005681465,119,Aruncus_dioicus,0,abiotic,1
Arundinaria_gigantea,Arundinaria gigantea,Arundinaria,Poaceae,prune,nonhost,0.075178941,852,Arundinaria_gigantea,0,abiotic,1
Asarum_contractum,Asarum contractum,Asarum,Aristolochiaceae,prune,nonhost,0.159873056,3630,Asarum_contractum,0,biotic,2
Asclepias_longifolia,Asclepias longifolia,Asclepias,Apocynaceae,prune,nonhost,0.63936893,14774,Asclepias_longifolia,0,biotic,2
Aster_subulatus,Aster subulatus,Aster,Asteraceae,prune,nonhost,0.001105863,23,Aster_subulatus,0,biotic,2
Astilbe_biternata,Astilbe biternata,Astilbe,Saxifragaceae,prune,nonhost,6.23E-04,26,Astilbe_biternata,0,biotic,2
Astraea_lobata,Astraea lobata,Astraea,Euphorbiaceae,prune,nonhost,3.83E-05,1,Astraea_lobata,0,biotic,2
Astragalus_canadensis,Astragalus canadensis,Astragalus,Fabaceae,prune,nonhost,0.009917712,60,Astragalus_canadensis,0,biotic,2
Atriplex_prostrata,Atriplex prostrata,Atriplex,Amaranthaceae,prune,nonhost,8.39E-04,18,Atriplex_prostrata,0,abiotic,1
Aureolaria_pedicularia,Aureolaria pedicularia,Aureolaria,Orobanchaceae,prune,nonhost,0.021998413,513,Aureolaria_pedicularia,0,biotic,2
Avicennia_germinans,Avicennia germinans,Avicennia,Acanthaceae,prune,nonhost,0.22857534,575,Avicennia_germinans,0,biotic,2
Axonopus_fissifolius,Axonopus fissifolius,Axonopus,Poaceae,prune,nonhost,7.57E-04,18,Axonopus_fissifolius,0,abiotic,1
Baccharis_halimifolia,Baccharis halimifolia,Baccharis,Asteraceae,prune,nonhost,0.205627617,2302,Baccharis_halimifolia,0,abiotic,1
Bacopa_monnieri,Bacopa monnieri,Bacopa,Plantaginaceae,prune,nonhost,0.083345636,761,Bacopa_monnieri,0,biotic,2
Balduina_atropurpurea,Balduina atropurpurea,Balduina,Asteraceae,prune,nonhost,0.027120681,500,Balduina_atropurpurea,0,biotic,2
Baptisia_australis,Baptisia australis,Baptisia,Fabaceae,prune,nonhost,0.059081938,1020,Baptisia_australis,0,biotic,2
Basiphyllaea_corallicola,Basiphyllaea corallicola,Basiphyllaea,Orchidaceae,prune,nonhost,3.83E-05,1,Basiphyllaea_corallicola,0,biotic,2
Batis_maritima,Batis maritima,Batis,Bataceae,prune,nonhost,0.011686515,120,Batis_maritima,0,abiotic,1
Beckmannia_syzigachne,Beckmannia syzigachne,Beckmannia,Poaceae,prune,nonhost,1.46E-05,1,Beckmannia_syzigachne,0,abiotic,1
Bejaria_racemosa,Bejaria racemosa,Bejaria,Ericaceae,prune,nonhost,0.021382464,494,Bejaria_racemosa,0,biotic,2
Beloglottis_costaricensis,Beloglottis costaricensis,Beloglottis,Orchidaceae,prune,nonhost,1.53E-04,4,Beloglottis_costaricensis,0,biotic,2
Berberis_aquifolium,Berberis aquifolium,Berberis,Berberidaceae,prune,nonhost,0.011877556,46,Berberis_aquifolium,0,biotic,2
Bergia_texana,Bergia texana,Bergia,Elatinaceae,prune,nonhost,0.002832861,1,Bergia_texana,0,biotic,2
Betula_pumila,Betula pumila,Betula,Betulaceae,prune,nonhost,0.2547727,7110,Betula_pumila,0,abiotic,1
Bidens_aristosa,Bidens aristosa,Bidens,Asteraceae,prune,nonhost,0.055822641,1118,Bidens_aristosa,0,biotic,2
Bigelowia_nuttallii,Bigelowia nuttallii,Bigelowia,Asteraceae,prune,nonhost,0.013615019,206,Bigelowia_nuttallii,0,biotic,2
Bignonia_capreolata,Bignonia capreolata,Bignonia,Bignoniaceae,prune,nonhost,0.125208287,1393,Bignonia_capreolata,0,biotic,2
Blephilia_ciliata,Blephilia ciliata,Blephilia,Lamiaceae,prune,nonhost,0.008420294,132,Blephilia_ciliata,0,biotic,2
Bletia_purpurea,Bletia purpurea,Bletia,Orchidaceae,prune,nonhost,0.002519929,53,Bletia_purpurea,0,biotic,2
Boechera_grahamii,Boechera grahamii,Boechera,Brassicaceae,prune,nonhost,0.0014196,21,Boechera_grahamii,0,biotic,2
Boehmeria_cylindrica,Boehmeria cylindrica,Boehmeria,Urticaceae,prune,nonhost,0.051896287,821,Boehmeria_cylindrica,0,abiotic,1
Boerhavia_diffusa,Boerhavia diffusa,Boerhavia,Nyctaginaceae,prune,nonhost,0.004638993,37,Boerhavia_diffusa,0,biotic,2
Bolboschoenus_maritimus,Bolboschoenus maritimus,Bolboschoenus,Cyperaceae,prune,nonhost,0.003556514,39,Bolboschoenus_maritimus,0,abiotic,1
Boltonia_asteroides,Boltonia asteroides,Boltonia,Asteraceae,prune,nonhost,0.006082018,42,Boltonia_asteroides,0,biotic,2
Borrichia_frutescens,Borrichia frutescens,Borrichia,Asteraceae,prune,nonhost,0.092622372,581,Borrichia_frutescens,0,biotic,2
Bourreria_baccata,Bourreria baccata,Bourreria,Boraginaceae,prune,nonhost,0.044751169,10,Bourreria_baccata,0,biotic,2
Bouteloua_curtipendula,Bouteloua curtipendula,Bouteloua,Poaceae,prune,nonhost,0.001074028,26,Bouteloua_curtipendula,0,abiotic,1
Bowlesia_incana,Bowlesia incana,Bowlesia,Apiaceae,prune,nonhost,9.96E-04,10,Bowlesia_incana,0,biotic,2
Brachyelytrum_aristosum,Brachyelytrum aristosum,Brachyelytrum,Poaceae,prune,nonhost,7.53E-04,17,Brachyelytrum_aristosum,0,abiotic,1
Brickellia_eupatorioides,Brickellia eupatorioides,Brickellia,Asteraceae,prune,nonhost,0.002098941,35,Brickellia_eupatorioides,0,biotic,2
Brintonia_discoidea,Brintonia discoidea,Brintonia,Asteraceae,prune,nonhost,0.00319764,33,Brintonia_discoidea,0,biotic,2
Bromus_inermis,Bromus inermis,Bromus,Poaceae,prune,nonhost,0.010435997,106,Bromus_inermis,0,abiotic,1
Brunnichia_ovata,Brunnichia ovata,Brunnichia,Polygonaceae,prune,nonhost,0.031450742,139,Brunnichia_ovata,0,biotic,2
Buchloe_dactyloides,Buchloe dactyloides,Buchloe,Poaceae,prune,nonhost,1.51E-05,1,Buchloe_dactyloides,0,abiotic,1
Burmannia_biflora,Burmannia biflora,Burmannia,Burmanniaceae,prune,nonhost,0.006263365,79,Burmannia_biflora,0,biotic,2
Bursera_simaruba,Bursera simaruba,Bursera,Burseraceae,prune,nonhost,0.028969778,392,Bursera_simaruba,0,biotic,2
Byrsonima_lucida,Byrsonima lucida,Byrsonima,Malpighiaceae,prune,nonhost,0.00187869,49,Byrsonima_lucida,0,biotic,2
Cabomba_caroliniana,Cabomba caroliniana,Cabomba,Cabombaceae,prune,nonhost,0.007522358,92,Cabomba_caroliniana,0,abiotic,1
Cakile_lanceolata,Cakile lanceolata,Cakile,Brassicaceae,prune,nonhost,0.045872526,353,Cakile_lanceolata,0,biotic,2
Calamagrostis_canadensis,Calamagrostis canadensis,Calamagrostis,Poaceae,prune,nonhost,0.004032702,41,Calamagrostis_canadensis,0,abiotic,1
Calla_palustris,Calla palustris,Calla,Araceae,prune,nonhost,0.007799175,212,Calla_palustris,0,biotic,2
Callicarpa_americana,Callicarpa americana,Callicarpa,Lamiaceae,prune,nonhost,0.376516261,4787,Callicarpa_americana,0,biotic,2
Callirhoe_involucrata,Callirhoe involucrata,Callirhoe,Malvaceae,prune,nonhost,0.00166577,15,Callirhoe_involucrata,0,biotic,2
Callisia_graminea,Callisia graminea,Callisia,Commelinaceae,prune,nonhost,0.008694491,209,Callisia_graminea,0,biotic,2
Caltha_palustris,Caltha palustris,Caltha,Ranunculaceae,prune,nonhost,0.054639733,1633,Caltha_palustris,0,biotic,2
Calycanthus_floridus,Calycanthus floridus,Calycanthus,Calycanthaceae,prune,nonhost,0.043002154,861,Calycanthus_floridus,0,biotic,2
Calycocarpum_lyonii,Calycocarpum lyonii,Calycocarpum,Menispermaceae,prune,nonhost,0.001349713,15,Calycocarpum_lyonii,0,biotic,2
Calyptranthes_pallens,Calyptranthes pallens,Calyptranthes,Myrtaceae,prune,nonhost,0.023610126,24,Calyptranthes_pallens,0,biotic,2
Calystegia_sepium,Calystegia sepium,Calystegia,Convolvulaceae,prune,specialist_host,0.025176694,462,Calystegia_sepium,1,biotic,2
Camassia_scilloides,Camassia scilloides,Camassia,Asparagaceae,prune,nonhost,0.003734353,52,Camassia_scilloides,0,biotic,2
Campanula_americana,Campanula americana,Campanula,Campanulaceae,prune,specialist_host,0.05894669,830,Campanula_americana,1,biotic,2
Campsis_radicans,Campsis radicans,Campsis,Bignoniaceae,prune,nonhost,0.175433609,2479,Campsis_radicans,0,biotic,2
Campylocentrum_pachyrrhizum,Campylocentrum pachyrrhizum,Campylocentrum,Orchidaceae,prune,nonhost,2.68E-04,7,Campylocentrum_pachyrrhizum,0,biotic,2
Canavalia_rosea,Canavalia rosea,Canavalia,Fabaceae,prune,nonhost,0.017604157,132,Canavalia_rosea,0,biotic,2
Canella_winterana,Canella winterana,Canella,Canellaceae,prune,nonhost,0.022567288,10,Canella_winterana,0,biotic,2
Capnoides_sempervirens,Capnoides sempervirens,Capnoides,Papaveraceae,prune,nonhost,0.016361286,618,Capnoides_sempervirens,0,biotic,2
Capraria_biflora,Capraria biflora,Capraria,Scrophulariaceae,prune,nonhost,0.001802009,47,Capraria_biflora,0,biotic,2
Cardamine_bellidifolia,Cardamine bellidifolia,Cardamine,Brassicaceae,prune,specialist_host,0.193950397,4367,Cardamine_bellidifolia,1,biotic,2
Carex_vesicaria,Carex vesicaria,Carex,Cyperaceae,prune,nonhost,0.331758655,4811,Carex_vesicaria,0,abiotic,1
Carphephorus_pseudoliatris,Carphephorus pseudoliatris,Carphephorus,Asteraceae,prune,nonhost,0.080081696,1449,Carphephorus_pseudoliatris,0,biotic,2
Carpinus_caroliniana,Carpinus caroliniana,Carpinus,Betulaceae,prune,nonhost,0.08856216,2132,Carpinus_caroliniana,0,abiotic,1
Casasia_clusiifolia,Casasia clusiifolia,Casasia,Rubiaceae,prune,nonhost,0.001418603,37,Casasia_clusiifolia,0,biotic,2
Cassytha_filiformis,Cassytha filiformis,Cassytha,Lauraceae,prune,nonhost,0.015064552,161,Cassytha_filiformis,0,biotic,2
Catalpa_speciosa,Catalpa speciosa,Catalpa,Bignoniaceae,prune,nonhost,0.014242263,360,Catalpa_speciosa,0,biotic,2
Catopsis_nutans,Catopsis nutans,Catopsis,Bromeliaceae,prune,nonhost,5.37E-04,14,Catopsis_nutans,0,biotic,2
Caulophyllum_thalictroides,Caulophyllum thalictroides,Caulophyllum,Berberidaceae,prune,nonhost,0.069296592,1327,Caulophyllum_thalictroides,0,biotic,2
Cayaponia_americana,Cayaponia americana,Cayaponia,Cucurbitaceae,prune,nonhost,0.002041201,13,Cayaponia_americana,0,biotic,2
Ceanothus_americanus,Ceanothus americanus,Ceanothus,Rhamnaceae,prune,specialist_host,0.014878122,352,Ceanothus_americanus,1,biotic,2
Celastrus_scandens,Celastrus scandens,Celastrus,Celastraceae,prune,nonhost,0.008156009,57,Celastrus_scandens,0,biotic,2
Celtis_occidentalis,Celtis occidentalis,Celtis,Cannabaceae,prune,nonhost,0.054708627,953,Celtis_occidentalis,0,abiotic,1
Cenchrus_echinatus,Cenchrus echinatus,Cenchrus,Poaceae,prune,nonhost,0.011554876,85,Cenchrus_echinatus,0,abiotic,1
Centaurea_americana,Centaurea americana,Centaurea,Asteraceae,prune,nonhost,1.27E-04,1,Centaurea_americana,0,biotic,2
Centella_erecta,Centella erecta,Centella,Apiaceae,prune,nonhost,0.01346662,131,Centella_erecta,0,biotic,2
Cephalanthus_occidentalis,Cephalanthus occidentalis,Cephalanthus,Rubiaceae,prune,nonhost,0.215365803,4251,Cephalanthus_occidentalis,0,biotic,2
Cerastium_arvense,Cerastium arvense,Cerastium,Caryophyllaceae,prune,nonhost,0.001797554,118,Cerastium_arvense,0,biotic,2
Ceratiola_ericoides,Ceratiola ericoides,Ceratiola,Ericaceae,prune,nonhost,0.032716123,416,Ceratiola_ericoides,0,biotic,2
Ceratophyllum_demersum,Ceratophyllum demersum,Ceratophyllum,Ceratophyllaceae,prune,nonhost,0.040274332,219,Ceratophyllum_demersum,0,abiotic,1
Cercis_canadensis,Cercis canadensis,Cercis,Fabaceae,prune,specialist_host,0.127256403,2482,Cercis_canadensis,1,biotic,2
Chaerophyllum_tainturieri,Chaerophyllum tainturieri,Chaerophyllum,Apiaceae,prune,nonhost,0.00747563,111,Chaerophyllum_tainturieri,0,biotic,2
Chamaecrista_nictitans,Chamaecrista nictitans,Chamaecrista,Fabaceae,prune,nonhost,0.120765059,1874,Chamaecrista_nictitans,0,biotic,2
Chamaedaphne_calyculata,Chamaedaphne calyculata,Chamaedaphne,Ericaceae,prune,nonhost,0.033840779,683,Chamaedaphne_calyculata,0,biotic,2
Chamaelirium_luteum,Chamaelirium luteum,Chamaelirium,Melanthiaceae,prune,nonhost,0.008516146,164,Chamaelirium_luteum,0,biotic,2
Chaptalia_tomentosa,Chaptalia tomentosa,Chaptalia,Asteraceae,prune,nonhost,0.02307936,271,Chaptalia_tomentosa,0,biotic,2
Chasmanthium_nitidum,Chasmanthium nitidum,Chasmanthium,Poaceae,prune,nonhost,0.066857598,1050,Chasmanthium_nitidum,0,abiotic,1
Chelone_obliqua,Chelone obliqua,Chelone,Plantaginaceae,prune,nonhost,0.084176292,1876,Chelone_obliqua,0,biotic,2
Chimaphila_maculata,Chimaphila maculata,Chimaphila,Ericaceae,prune,nonhost,0.321906626,10823,Chimaphila_maculata,0,biotic,2
Chionanthus_virginicus,Chionanthus virginicus,Chionanthus,Oleaceae,prune,nonhost,0.041357209,749,Chionanthus_virginicus,0,biotic,2
Chromolaena_odorata,Chromolaena odorata,Chromolaena,Asteraceae,prune,nonhost,0.00680733,127,Chromolaena_odorata,0,biotic,2
Chrysobalanus_icaco,Chrysobalanus icaco,Chrysobalanus,Chrysobalanaceae,prune,nonhost,0.025439792,333,Chrysobalanus_icaco,0,biotic,2
Chrysoma_pauciflosculosa,Chrysoma pauciflosculosa,Chrysoma,Asteraceae,prune,nonhost,0.009133789,93,Chrysoma_pauciflosculosa,0,biotic,2
Chrysopsis_mariana,Chrysopsis mariana,Chrysopsis,Asteraceae,prune,specialist_host,0.023533578,513,Chrysopsis_mariana,1,biotic,2
Chrysosplenium_americanum,Chrysosplenium americanum,Chrysosplenium,Saxifragaceae,prune,nonhost,0.011791149,357,Chrysosplenium_americanum,0,biotic,2
Cicuta_maculata,Cicuta maculata,Cicuta,Apiaceae,prune,nonhost,0.020939269,486,Cicuta_maculata,0,biotic,2
Cinna_latifolia,Cinna latifolia,Cinna,Poaceae,prune,nonhost,0.002908316,57,Cinna_latifolia,0,abiotic,1
Circaea_alpina,Circaea alpina,Circaea,Onagraceae,prune,nonhost,0.028146334,1372,Circaea_alpina,0,biotic,2
Cirsium_nuttallii,Cirsium nuttallii,Cirsium,Asteraceae,prune,specialist_host,0.235034424,1991,Cirsium_nuttallii,1,biotic,2
Cissus_trifoliata,Cissus trifoliata,Cissus,Vitaceae,prune,nonhost,0.00752335,74,Cissus_trifoliata,0,biotic,2
Citharexylum_spinosum,Citharexylum spinosum,Citharexylum,Verbenaceae,prune,nonhost,0.026678017,42,Citharexylum_spinosum,0,biotic,2
Cladium_mariscus,Cladium mariscus,Cladium,Cyperaceae,prune,nonhost,0.019289484,247,Cladium_mariscus,0,abiotic,1
Cladrastis_kentukea,Cladrastis kentukea,Cladrastis,Fabaceae,prune,nonhost,0.001485402,38,Cladrastis_kentukea,0,biotic,2
Claytonia_perfoliata,Claytonia perfoliata,Claytonia,Montiaceae,prune,specialist_host,0.236769008,7424,Claytonia_perfoliata,1,biotic,2
Clematis_ochroleuca,Clematis ochroleuca,Clematis,Ranunculaceae,prune,nonhost,0.090866901,1594,Clematis_ochroleuca,0,biotic,2
Clethra_acuminata,Clethra acuminata,Clethra,Clethraceae,prune,nonhost,0.078252618,2518,Clethra_acuminata,0,biotic,2
Cliftonia_monophylla,Cliftonia monophylla,Cliftonia,Cyrillaceae,prune,nonhost,0.017218352,230,Cliftonia_monophylla,0,biotic,2
Clinopodium_dentatum,Clinopodium dentatum,Clinopodium,Lamiaceae,prune,specialist_host,0.045527011,862,Clinopodium_dentatum,1,biotic,2
Clintonia_borealis,Clintonia borealis,Clintonia,Liliaceae,prune,nonhost,0.21495108,3152,Clintonia_borealis,0,biotic,2
Clusia_rosea,Clusia rosea,Clusia,Clusiaceae,prune,nonhost,4.44E-04,13,Clusia_rosea,0,biotic,2
Coccoloba_uvifera,Coccoloba uvifera,Coccoloba,Polygonaceae,prune,nonhost,0.12170289,921,Coccoloba_uvifera,0,biotic,2
Coccothrinax_argentata,Coccothrinax argentata,Coccothrinax,Arecaceae,prune,nonhost,8.25E-04,22,Coccothrinax_argentata,0,biotic,2
Cocculus_carolinus,Cocculus carolinus,Cocculus,Menispermaceae,prune,nonhost,0.027199354,193,Cocculus_carolinus,0,biotic,2
Collinsia_verna,Collinsia verna,Collinsia,Plantaginaceae,prune,nonhost,0.006527403,75,Collinsia_verna,0,biotic,2
Collinsonia_canadensis,Collinsonia canadensis,Collinsonia,Lamiaceae,prune,nonhost,0.019363363,523,Collinsonia_canadensis,0,biotic,2
Colubrina_elliptica,Colubrina elliptica,Colubrina,Rhamnaceae,prune,nonhost,0.022835672,17,Colubrina_elliptica,0,biotic,2
Comandra_umbellata,Comandra umbellata,Comandra,Santalaceae,prune,nonhost,0.003585707,126,Comandra_umbellata,0,biotic,2
Comarum_palustre,Comarum palustre,Comarum,Rosaceae,prune,nonhost,0.008193242,97,Comarum_palustre,0,biotic,2
Commelina_diffusa,Commelina diffusa,Commelina,Commelinaceae,prune,nonhost,0.06465432,865,Commelina_diffusa,0,biotic,2
Comptonia_peregrina,Comptonia peregrina,Comptonia,Myricaceae,prune,nonhost,0.064598248,2156,Comptonia_peregrina,0,abiotic,1
Conioselinum_chinense,Conioselinum chinense,Conioselinum,Apiaceae,prune,nonhost,1.97E-04,4,Conioselinum_chinense,0,biotic,2
Conocarpus_erectus,Conocarpus erectus,Conocarpus,Combretaceae,prune,nonhost,0.237417169,342,Conocarpus_erectus,0,biotic,2
Conradina_canescens,Conradina canescens,Conradina,Lamiaceae,prune,nonhost,0.03790991,372,Conradina_canescens,0,biotic,2
Coptis_trifolia,Coptis trifolia,Coptis,Ranunculaceae,prune,nonhost,0.066118158,1834,Coptis_trifolia,0,biotic,2
Corallorhiza_wisteriana,Corallorhiza wisteriana,Corallorhiza,Orchidaceae,prune,nonhost,0.020308836,280,Corallorhiza_wisteriana,0,biotic,2
Corema_conradii,Corema conradii,Corema,Ericaceae,prune,nonhost,0.002071415,41,Corema_conradii,0,biotic,2
